segmento,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
men_0-9,3140.3282782,4048.77248144,4671.22171173,5159.56959526,5202.96609807,4930.13412572,4685.25755572,4464.0597082,4266.81757082,4041.47003394,3916.79053531,3805.73874808,3705.97545206,3615.64411228,3511.47106639,3422.04283611,3343.07502248,3272.63756118,3209.29205005,3148.38870172
men_10-19,2381.21827526,3181.92770875,3800.56149602,4341.04132847,4638.38805305,4509.99480784,4397.09793282,4297.23040682,4205.12532092,4076.91907736,3862.46488821,3671.17372997,3499.48995554,3344.59104626,3149.14425212,2971.66069166,2813.50933022,2671.61425033,2546.0695199,2426.6775446
men_20-44,19359.776297,25293.6432651,29557.8373657,33051.6716899,33787.648271,32937.1112071,32195.4982136,31545.5463794,30973.2135457,30089.1942563,29331.8484595,28674.8538725,28101.7463323,27599.4377412,26882.3014328,26347.4146395,25899.3586904,25523.080926,25198.675755,24893.235036
men_45-64,10960.055792,14493.7821169,17140.0023252,19391.450326,20003.7663853,19396.5053217,18862.2495281,18389.5264426,17969.0201463,17375.2939644,16861.8830792,16412.433671,16016.5502635,15665.9691842,15207.3359363,14731.8731736,14316.9990624,13952.3564558,13630.2040596,13451.7391174
men_65-79,12432.021363,17576.0220561,22038.0199425,26253.7822351,29361.8522624,30582.0301216,31696.163154,32717.6773364,33657.1946654,34443.8628355,35190.4809193,35890.671781,36548.9285349,37168.9094334,37659.3038684,37948.2434877,38258.8829172,38584.9139166,38922.5181074,38250.6652979
men_80-100,2095.37673796,2845.44539774,3411.66578572,3873.66801927,4516.69887517,4784.49520505,4962.56357523,5069.84689951,5121.1634079,5624.61908392,5995.86942041,6262.0155387,6444.69408698,6560.82456636,7053.0039125,7638.04103191,8088.52791317,8431.27303804,8687.42781733,9411.76730221
women_0-9,3902.42260974,5023.44343924,5786.24960055,6380.26431434,6436.4835727,6101.29008432,5799.87169265,5527.0267408,5282.62338888,4974.23682058,4817.40428959,4676.94920992,4550.01173076,4434.32071308,4301.4382099,4186.39668758,4084.66564819,3993.80496339,3911.99764886,3833.53009726
women_10-19,2631.21172467,3510.87997309,4187.60647527,4776.68035381,5081.48851764,4919.4068487,4775.72282007,4647.51503412,4529.32485191,4404.45972702,4157.87518516,3937.19593796,3738.43591151,3558.4312009,3343.82111195,3148.80342404,2974.17349994,2816.63892064,2676.00310181,2525.20620802
women_20-44,5161.1510804,6748.73145461,7892.90251096,8832.82828936,9057.8002858,8864.26436213,8697.41611844,8553.00139044,8427.55378933,8197.31441746,8000.67276229,7830.60107507,7682.72480705,7553.5661886,7352.76441414,7187.34374357,7046.5886828,6926.2076901,6820.97146106,6742.5099926
women_45-64,22390.0200582,29574.559564,34935.6897085,39483.6421142,40594.0972705,39230.763378,38024.0059285,36949.278459,35986.6716121,34792.3538077,33758.406484,32852.123327,32052.7239752,31343.6923563,30641.7557331,29942.4441857,29348.3726265,28841.4082086,28408.115698,28080.6228044
women_65-79,12247.6533699,17894.1901638,23070.9469923,28156.0684782,32173.9485167,34143.3684126,35975.2928523,37687.7804074,39295.0612999,40642.4727832,41935.5161873,43163.7371801,44334.1207666,45452.2578051,45878.0589305,45631.3139545,45476.7118219,45396.9075876,45379.5510011,44590.4123975
women_80-100,7731.94036392,10231.1072177,12072.8859874,13593.7061364,15120.8618917,15576.6361252,15904.8606285,16127.5107954,16262.2304008,17313.8031926,18146.7877897,18798.5059286,19300.5981835,19678.3556524,20995.6011318,22820.4221442,24325.1347847,25565.1564818,26585.17378,28621.2455004
